"SubjectID","SecondarySubjectID","EnrollmentType","Q1_1. What is your current class standing at UCSC?_1. What is your current class standing at UCSC?","Q2_2. Why are you taking this class?_2. Why are you taking this class?","Q3_3. What percentage of class meetings taught by this instructor (in person or remotely, not counting sections or labs taught by others) did you attend? (Note: 1 week = 10%)_3. What percentage of class meetings taught by this instructor (in person or remotely, not counting sections or labs taught by others) did you attend? (Note: 1 week = 10%)","Q5_4. About how many total hours per week, outside of class meetings, did you spend on work for this course?_4. About how many total hours per week, outside of class meetings, did you spend on work for this course?","Q7_5. The instructor used course time effectively to support my learning._5. The instructor used course time effectively to support my learning.","Q8_6. The instructor explained concepts in ways that supported my learning._6. The instructor explained concepts in ways that supported my learning.","Q9_7. The instructor provided useful feedback on my assigned work (put “unable to comment” if you received feedback on your assignments only from a Teaching Assistant)._7. The instructor provided useful feedback on my assigned work (put “unable to comment” if you received feedback on your assignments only from a Teaching Assistant).","Q11_8. The instructor clearly communicated how assignments would be evaluated and/or graded._8. The instructor clearly communicated how assignments would be evaluated and/or graded.","Q16_9. The instructor helped me feel engaged with the course._9. The instructor helped me feel engaged with the course.","Q18_10. Please restate your answer to Question 9 and explain it.","Q20_11. I understood the learning goals or learning objectives of the course._11. I understood the learning goals or learning objectives of the course.","Q21_12. Lectures and other instructor-produced presentations (e.g. video-recorded lectures) were well structured and had clear goals._12. Lectures and other instructor-produced presentations (e.g. video-recorded lectures) were well structured and had clear goals.","Q22_13. In-class activities were well structured and had clear goals. _13. In-class activities were well structured and had clear goals. ","Q25_14. Problem sets, writing assignments, and other homework, over the course of the quarter, helped me feel prepared for examinations, papers, and projects._14. Problem sets, writing assignments, and other homework, over the course of the quarter, helped me feel prepared for examinations, papers, and projects.","Q28_15. I found the assigned reading I completed to be useful to my learning in the course._15. I found the assigned reading I completed to be useful to my learning in the course.","Q32_16. Please describe any specific teaching practices and materials (lectures, seminar discussions, small group activities, demonstrations, instructional videos, homework, individual conferences, study guides, papers, etc.) the instructor used that you found helpful or unhelpful to your learning in this course. ","Q35_17. What suggestions, if any, do you have to improve this course? Please be as specific as possible. ","Q38_18. Is there anything else you would like to add? ","Q41_19. Did you feel prepared, by prior coursework at UCSC, community college, or high school, for the work required in this course?_19. Did you feel prepared, by prior coursework at UCSC, community college, or high school, for the work required in this course?","Q44_20. Please restate your answer to Question 19 and explain it. ","Q48_Please Select your TA",
"2254-70640-5S1-01","2173231","System","Junior/third year","Required for my major/minor","75-100%","13 hours or more","Frequently","Frequently","Unable to comment","Frequently","Frequently","the instructor helped me feel engaged with the course frequently however the course lectures are very long and it is hard to stay fully engaged for the whole length. At a certain point, it just feels like information is going in one ear and out the other. ","At the beginning of the course","Very frequently","Frequently","Frequently","I found the reading somewhat useful","D/A","A study guide for quizzes and exam would be helpful. I would also appreciate some videos explaining certain programs, data structures, and algorithms.","D/A","Very prepared","I feel very prepared because this course taught a lot of the fundamentals of c with more technical depth than I expected. ","Yes"
"2254-70640-5S1-01","2173231","System","Senior/ fourth year","Required for my major/minor","75-100%","13 hours or more","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","D/A","At the end of the course","Very frequently","Frequently","Very frequently","I found the reading very useful","D/A","D/A","D/A","Somewhat prepared","D/A","Yes"
"2254-70640-5S1-01","2173231","System","Junior/third year","Required for my major/minor","75-100%","13 hours or more","Very frequently","Frequently","Unable to comment","Frequently","Frequently","D/A","At the end of the course","Very frequently","Very frequently","Somewhat frequently","No assigned reading","The in-class practice was very helpful","I would like more quiz-related help and more ways to prepare for the quizzes since they were a large portion of our grade. ","D/A","Somewhat prepared","D/A","Yes"
"2254-70640-5S1-01","2173231","System","Junior/third year","Required for my major/minor","75-100%","4-6 hours","Frequently","Frequently","Occasionally","Somewhat frequently","Frequently","I enjoyed the professor's lecture style and her ability to explain certain concepts.","At the beginning of the course","Frequently","Frequently","Occasionally","No assigned reading","I found the in-class assignments where we create a program based on what we just learned to be helpful.","The lecture as a whole was too long. Maybe a MWF split would have been better. The discussion being directly after the 3.5 lecture was also another issue; I would have preferred it to be on another day.","None.","Somewhat prepared","I had decent knowledge of assembly which I learnt in CSE 12 which helped in this course at times.","Yes"
"2254-70640-5S1-01","2173231","System","Junior/third year","Required for my major/minor","75-100%","4-6 hours","Very frequently","Frequently","Unable to comment","Frequently","Somewhat frequently","I felt engaged in the course for the most part, although the long lecture time periods were difficult to manage.","At the beginning of the course","Frequently","Occasionally","Somewhat frequently","No assigned reading","I appreciated when there were activities to do in class to break up the lecture and add engagement. ","I would love to give slightly more grace with the quizzes. I found it challenging to have quizzes weighted as a significant portion of the grade, and yet be tested on material two days after learning it. ","D/A","Somewhat prepared","D/A","Yes"
"2254-70640-5S1-01","2173231","System","Sophomore/second year","Required for my major/minor","75-100%","7-9 hours","Somewhat frequently","Somewhat frequently","Somewhat frequently","Somewhat frequently","Somewhat frequently","D/A","At the beginning of the course","Occasionally","Occasionally","Occasionally","I did little to none of the assigned reading","D/A","D/A","D/A","Somewhat prepared","D/A","Yes"
"2254-70640-5S1-01","2173231","System","Junior/third year","General interest in the topic","50-74%","0-3 hours","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","D/A","At the beginning of the course","Very frequently","Very frequently","Very frequently","No assigned reading","D/A","D/A","D/A","Somewhat prepared","D/A","Yes"
"2254-70640-5S1-01","2173231","System","Junior/third year","General interest in the topic","75-100%","10-12 hours","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","I'm glad that she encourages participation, although it can feel intimidating at times. ","At the beginning of the course","Very frequently","Very frequently","Very frequently","I did little to none of the assigned reading","I really enjoy the attendance surveys. It's a nice way to break up a long class. ","2 short breaks would be nice. ","D/A","Very prepared","D/A","Yes"
"2254-70640-5S1-01","2173231","System","Sophomore/second year","Required for my major/minor","75-100%","10-12 hours","Frequently","Frequently","Unable to comment","Frequently","Somewhat frequently","D/A","At the end of the course","Somewhat frequently","Frequently","Frequently","No assigned reading","D/A","D/A","nope","Somewhat prepared","D/A","Yes"
"2254-70640-5S1-01","2173231","System","Junior/third year","Required for my major/minor","75-100%","4-6 hours","Very frequently","Very frequently","Very frequently","Very frequently","Frequently","Some of the topics I had already covered, but later on it was more interesting.","At the beginning of the course","Very frequently","Very frequently","Very frequently","I did little to none of the assigned reading","The homework autograder was very useful for sanity-checking my code before the official submission.","Be a bit more consistent with the language on the quizzes.","D/A","Very prepared","I had done some C before, so I was prepared.","Yes"
