"SubjectID","SecondarySubjectID","EnrollmentType","Q1_1. What is your current class standing at UCSC?_1. What is your current class standing at UCSC?","Q2_2. Why are you taking this class?_2. Why are you taking this class?","Q3_3. What percentage of class meetings taught by this instructor (in person or remotely, not counting sections or labs taught by others) did you attend? (Note: 1 week = 10%)_3. What percentage of class meetings taught by this instructor (in person or remotely, not counting sections or labs taught by others) did you attend? (Note: 1 week = 10%)","Q5_4. About how many total hours per week, outside of class meetings, did you spend on work for this course?_4. About how many total hours per week, outside of class meetings, did you spend on work for this course?","Q7_5. The instructor used course time effectively to support my learning._5. The instructor used course time effectively to support my learning.","Q8_6. The instructor explained concepts in ways that supported my learning._6. The instructor explained concepts in ways that supported my learning.","Q9_7. The instructor provided useful feedback on my assigned work (put “unable to comment” if you received feedback on your assignments only from a Teaching Assistant)._7. The instructor provided useful feedback on my assigned work (put “unable to comment” if you received feedback on your assignments only from a Teaching Assistant).","Q11_8. The instructor clearly communicated how assignments would be evaluated and/or graded._8. The instructor clearly communicated how assignments would be evaluated and/or graded.","Q16_9. The instructor helped me feel engaged with the course._9. The instructor helped me feel engaged with the course.","Q18_10. Please restate your answer to Question 9 and explain it.","Q20_11. I understood the learning goals or learning objectives of the course._11. I understood the learning goals or learning objectives of the course.","Q21_12. Lectures and other instructor-produced presentations (e.g. video-recorded lectures) were well structured and had clear goals._12. Lectures and other instructor-produced presentations (e.g. video-recorded lectures) were well structured and had clear goals.","Q22_13. In-class activities were well structured and had clear goals. _13. In-class activities were well structured and had clear goals. ","Q25_14. Problem sets, writing assignments, and other homework, over the course of the quarter, helped me feel prepared for examinations, papers, and projects._14. Problem sets, writing assignments, and other homework, over the course of the quarter, helped me feel prepared for examinations, papers, and projects.","Q28_15. I found the assigned reading I completed to be useful to my learning in the course._15. I found the assigned reading I completed to be useful to my learning in the course.","Q32_16. Please describe any specific teaching practices and materials (lectures, seminar discussions, small group activities, demonstrations, instructional videos, homework, individual conferences, study guides, papers, etc.) the instructor used that you found helpful or unhelpful to your learning in this course. ","Q35_17. What suggestions, if any, do you have to improve this course? Please be as specific as possible. ","Q38_18. Is there anything else you would like to add? ","Q41_19. Did you feel prepared, by prior coursework at UCSC, community college, or high school, for the work required in this course?_19. Did you feel prepared, by prior coursework at UCSC, community college, or high school, for the work required in this course?","Q44_20. Please restate your answer to Question 19 and explain it. ","Q48_Please Select your TA","Q77_The course improved my ability to think deeply about the subject._The course improved my ability to think deeply about the subject.","Q95_Personalized Comment Question 1 (e.g., What did you think of...?)_QPTitle","Q95_Personalized Comment Question 1 (e.g., What did you think of...?)_QPResp","Q96_Personalized Comment Question 2_QPTitle","Q96_Personalized Comment Question 2_QPResp",
"2254-70635-5S2-01","2173231","System","Fifth-year senior or more","Required for my major/minor","75-100%","4-6 hours","Frequently","Frequently","Unable to comment","Frequently","Frequently","D/A","At the end of the course","Frequently","Frequently","Frequently","I found the reading very useful","D/A","D/A","D/A","Somewhat prepared","D/A","Yes","A great deal","Did using iota, the grade prediction platform, help you in any way possible? If yes, please share what you like about it.","Nope","What else would you like to see in iota, the grade prediction platform?","I personally was often too lazy to look at iota, if there was an opt in preference for iota to be a part of the grades page in Canvas, I would've used it more"
"2254-70635-5S2-01","2173231","System","Fifth-year senior or more","Required for my major/minor","75-100%","13 hours or more","Frequently","Frequently","Frequently","Frequently","Somewhat frequently","D/A","At the end of the course","Very frequently","Very frequently","Very frequently","I found the reading useful","D/A","D/A","D/A","Not at all prepared","D/A","Yes","To some extent","Did using iota, the grade prediction platform, help you in any way possible? If yes, please share what you like about it.","D/A","What else would you like to see in iota, the grade prediction platform?","D/A"
"2254-70635-5S2-01","2173231","System","Senior/ fourth year","Required for my major/minor","75-100%","7-9 hours","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","The instructor helped me feel engaged with the course very frequently through problems and exercises of the concepts taught as well as frequent polls and quizzes to check our understanding","At the beginning of the course","Very frequently","Very frequently","Very frequently","I found the reading useful","The quizzes and in class practice problems were a great method of checking our understanding because it is very easy to simply listen to a lecture and believe you have mastered the concepts but when you actually work on problems or are tested on your knowledge, you find the gaps.","None","D/A","Prepared","I felt prepared because I had taken CSE-101 which covered the basic data structures (like binary search trees, red-black trees, stack, queue, etc) and briefly went over time complexity of algorithms. It also covered graph and search algorithms. Similarly I took CSE-140 which went more in depth on the various search algorithms and introduced greedy algorithms. Different sorting functions were covered in CSE-13 and hashing was briefly covered in CSE-138. The only concept that was completely new to me in this course was Dynamic programming.","Yes","To some extent","Did using iota, the grade prediction platform, help you in any way possible? If yes, please share what you like about it.","I did not use IOTA","What else would you like to see in iota, the grade prediction platform?","D/A"
"2254-70635-5S2-01","2173231","System","Senior/ fourth year","Required for my major/minor","75-100%","13 hours or more","Very frequently","Very frequently","Unable to comment","Frequently","Very frequently","I really like the way Kriti would give examples throughout the lecture and would ask questions from the class. I also really like the think-pair-share opportunities we had. This allowed me to put in practice what we had learn in a lower-stakes scenario. She also had slides, but it was really helpful when she would address our questions and walk through problems step-by-step on the blackboard/projector. This was really helpful and helped us be a bit more engaged throughout the 3+ hours.","At the beginning of the course","Very frequently","Very frequently","Very frequently","I found the reading very useful","The homework was probably the most challenging of all things we did, but I felt it prepared us well for exams/quizzes and helped us better understand the material. I also like how well organized the whole class and how she would release all things on time/updated versions were available immediately. Her lectures were also great. Even though they were long, I think she did her best to make sure we were engaged and the material was presented in an interesting manner.","I don't think I have individual recommendations. I felt like there were plenty of resources available to me in case I needed help, and Kriti made sure to stress the importance of staying on top of everything since this is only a 5-week course.","I really enjoyed this class! Kriti was great, and I'm a bit sad I might not have her again for another class :')
","Very prepared","D/A","Yes","A great deal","Did using iota, the grade prediction platform, help you in any way possible? If yes, please share what you like about it.","I think it was a bit depressing to see tbh. I was above the median/average for basically all assignments, but it still said that my optimistic score would be A-, so it sort of felt like even if I may do very well, would boost my grade slightly from a high B+. :') Nothing horrible about it, but I feel I can convince myself and hype myself up a bit better. ","What else would you like to see in iota, the grade prediction platform?","n/a"
"2254-70635-5S2-01","2173231","System","Senior/ fourth year","Required for my major/minor","75-100%","10-12 hours","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","I felt more engaged with the course in general.","At the beginning of the course","Somewhat frequently","Frequently","Frequently","I found the reading useful","The textbooks and the that were given were really helpful.","I wish it was a longer time period for the class but overall the class structure was well defined.","Nope.","Somewhat prepared","I was not prepared because I never have not taken an algorithms  class in high school. ","Yes","A great deal","Did using iota, the grade prediction platform, help you in any way possible? If yes, please share what you like about it.","It was really helpful to see where my current standing was at in terms of my overall grade.","What else would you like to see in iota, the grade prediction platform?","N/A"
"2254-70635-5S2-01","2173231","System","Senior/ fourth year","Elective for my major/minor","75-100%","7-9 hours","Frequently","Frequently","Unable to comment","Somewhat frequently","Frequently","The professor is clearly very interested in the course content and frequently explained topics in a way that really helped me understand them.","At the beginning of the course","Frequently","Frequently","Frequently","No assigned reading","D/A","D/A","D/A","Somewhat prepared","D/A","Yes","A great deal","Did using iota, the grade prediction platform, help you in any way possible? If yes, please share what you like about it.","D/A","What else would you like to see in iota, the grade prediction platform?","D/A"
"2254-70635-5S2-01","2173231","System","Senior/ fourth year","Required for my major/minor","75-100%","4-6 hours","Very frequently","Very frequently","Unable to comment","Very frequently","Frequently","D/A","At the beginning of the course","Very frequently","Very frequently","Very frequently","I did little to none of the assigned reading","D/A","D/A","D/A","Very prepared","i'd done a probabilities course and some other course with algorithms/data structures which helped understand what was going on.","Yes","A great deal","Did using iota, the grade prediction platform, help you in any way possible? If yes, please share what you like about it.","D/A","What else would you like to see in iota, the grade prediction platform?","D/A"
"2254-70635-5S2-01","2173231","System","Junior/third year","Required for my major/minor","75-100%","10-12 hours","Frequently","Frequently","Frequently","Frequently","Frequently","D/A","At the beginning of the course","Frequently","Frequently","Frequently","I found the reading useful","D/A","D/A","D/A","Prepared","D/A","Yes","A great deal","Did using iota, the grade prediction platform, help you in any way possible? If yes, please share what you like about it.","D/A","What else would you like to see in iota, the grade prediction platform?","D/A"
"2254-70635-5S2-01","2173231","System","Senior/ fourth year","Required for my major/minor","75-100%","13 hours or more","Very frequently","Frequently","Unable to comment","Very frequently","Very frequently","Very frequently because she had many check ins and peer discussions.","At the beginning of the course","Very frequently","Very frequently","Very frequently","I found the reading useful","Peer discussions, in class questions, checkins, etc.","Be more flexible and understannding of the fact there is so much to remember in this class since it is really fast and things like a study guide or cheat sheet would have really helped me personally do well in this class.","Great professor, and very understanding to the difficulty level/ how fast this class is with the amount of information that is in this class. She did great! Loved her.","Somewhat prepared","Prepared enough because of CSE13, CSE101, CSE16, Stat131, etc.","Yes","A great deal","Did using iota, the grade prediction platform, help you in any way possible? If yes, please share what you like about it.","Yes it was pretty helpful to see what my grade looked like.","What else would you like to see in iota, the grade prediction platform?","Sure, I don't see why not."
"2254-70635-5S2-01","2173231","System","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Yes","D/A","Did using iota, the grade prediction platform, help you in any way possible? If yes, please share what you like about it.","D/A","What else would you like to see in iota, the grade prediction platform?","D/A"
